Date,Category,Product,Quantity,Price,Region
2023-11-15,Laptops,MacBook Air,3,99990,West
2023-11-18,Accessories,Laptop Bag,7,2490,North
2023-11-21,Smartphones,Xiaomi Redmi Note 10,10,18990,East
2023-11-24,Audio,Apple AirPods,8,12990,South
2023-11-27,TV,LG OLED 55",5,89990,Center
2023-11-30,Laptops,Lenovo ThinkPad,3,78500,West
2023-12-03,Accessories,USB-C Cable,25,590,North
2023-12-06,Smartphones,Samsung Galaxy S21,8,54990,East
2023-12-09,Audio,Sony WH-1000XM4,5,28990,South
2023-12-12,TV,Samsung 4K 50",6,45990,Center
2023-12-15,Laptops,Asus ZenBook,4,69990,West
2023-12-18,Accessories,Power Bank,12,1990,North
2023-12-21,Smartphones,iPhone 13,8,79990,East
2023-12-24,Audio,Bose Soundbar,4,29990,South
2023-12-27,TV,Xiaomi Mi TV,7,32990,Center
2023-12-30,Laptops,Dell XPS,3,112990,West
